Bucket,Bush,CessPool,Constituency,County,ImprovedSanitation,MainSewer,NumberofHHMembers,Other,PitLatrine,PitLatrineUncovered,SepticTank,UnimprovedSanitation,VIPLatrine
0.04,18.61,0.06,Ugenya,Siaya,66.14,0.05,30292,0.09,61.52,15.13,0.15,33.86,4.36
0,2.97,0.03,Ugunja,Siaya,41.41,0.15,24080,0.26,39.45,55.35,0.36,58.59,1.41
0.08,11.37,0.04,Alego Usonga,Siaya,49.46,0.13,13594,0.05,48.37,39.05,0.15,50.54,0.77
0.11,4.3,0.06,Gem,Siaya,81.63,0.05,34611,0.04,80.43,13.91,0.08,18.37,1
0.04,30.27,0.19,Bondo,Siaya,59.02,0,28217,0.17,57.49,10.5,0.12,40.98,1.22
0.02,17.32,0.17,Rarieda,Siaya,28.62,0.12,32702,0.36,23.87,53.68,0.12,71.38,4.34
0.02,7.07,0,Taveta,Taita Taveta,24.78,0.08,17996,0.02,22.99,68.12,0.21,75.22,1.5
0.13,0.1,0.08,Wundanyi,Taita Taveta,83.6,2.13,19300,0,59.33,16.18,4.12,16.4,17.93
0.19,2.48,0,Mwatate,Taita Taveta,92.87,0,10778,0.15,58.38,4.32,1.08,7.13,33.41
0.05,0.18,1.01,Voi,Taita Taveta,56.49,5.37,24458,0.11,33.98,43.17,10.41,43.51,5.72
0.12,64.47,0.06,Garsen,Tana River,28.08,0.39,19520,0.8,26.54,6.53,0.07,71.92,1.02
0.02,82.29,0.02,Galole,Tana River,15.59,0,13590,0.03,14.97,2.07,0.03,84.41,0.57
0,89.3,0.08,Bura,Tana River,6.98,0.02,16312,0.15,6.36,3.57,0,93.02,0.51
0.05,0.14,0,Maara,Tharaka Nithi,56.75,0.15,14861,0.01,49.58,43.05,0.19,43.25,6.83
0.04,1.38,0.09,Chuka/Igambang'ombe,Tharaka Nithi,67.56,0,14108,0.21,62.97,30.82,0.05,32.44,4.45
0.02,22.22,0.04,Tharaka,Tharaka Nithi,32.67,0.04,25466,0.02,30.95,45.06,0,67.33,1.65
0.1,2.44,0.05,Kwanza,TransNzoia,77.58,0.04,55840,0.09,73.57,19.79,0.24,22.42,3.68
0.09,16.87,0.02,Endebess,TransNzoia,49.04,0.05,36388,0.11,48.33,33.88,0.15,50.96,0.49
0.27,2.99,0.03,Saboti,TransNzoia,66.22,0.05,39343,0.11,56.92,30.4,0.02,33.78,9.2
0.07,0.4,0.07,Kiminini,TransNzoia,85.61,0.07,33229,0.07,80.69,13.84,0.48,14.39,4.31
0.19,0.76,0.03,Cherangany,TransNzoia,86.05,0,25654,0.05,81.37,12.95,0.18,13.95,4.47
0,97.48,0,Turkana North,Turkana,1.95,0.3,21332,0.17,1.58,0.4,0,98.05,0.08
0.02,81.31,0.56,Turkana West,Turkana,13.84,0.01,33317,0.08,12.13,4.75,0.05,86.16,1.09
0.05,97.26,0.02,Turkana Central,Turkana,0.68,0,33989,0.03,0.61,1.98,0,99.32,0.05
0,98.41,0,Loima,Turkana,0.97,0,31622,0.11,0.94,0.51,0.02,99.03,0.02
0,81.86,0,Turkana South,Turkana,17,2.46,15068,0,12.16,1.14,0.24,83,2.14
0.12,74.84,0,Turkana East,Turkana,19.78,0.09,25274,0.23,18.88,5.03,0,80.22,0.81
0.05,0.59,0.03,Soy,Uasin Gishu,89.39,0.15,29994,0.07,69.89,9.91,1.78,10.61,17.53
0.03,3.37,0.07,Turbo,Uasin Gishu,70.5,0.05,30485,0.1,64.69,26,0.13,29.5,5.55
0.1,0.46,0.02,Moiben,Uasin Gishu,74.51,0.03,27784,0.09,64.8,24.84,0.13,25.49,9.53
0.04,0.42,0.06,Ainabkoi,Uasin Gishu,87.28,37.09,32187,0,43.14,12.26,5.44,12.72,1.54
0.2,3.22,0.09,Kapseret,Uasin Gishu,79.22,0.05,31004,0.04,65.9,17.32,1.19,20.78,11.98
0.07,0.12,0.07,Kesses,Uasin Gishu,86.94,16.93,19516,0.04,47.59,12.83,15.82,13.06,6.53
0,0.17,0,Vihiga,Vihiga,88.32,1.88,28500,0.01,74.46,11.49,0.2,11.68,11.78
0,0.18,0.06,Sabatia,Vihiga,92.2,0.03,25516,0,81.48,7.62,1.31,7.8,9.32
0,0.67,0.03,Hamisi,Vihiga,87.94,0.36,21771,0.01,75.75,11.37,0.29,12.06,11.52
0.1,0.22,0.21,Luanda,Vihiga,88.49,0.01,14244,0.13,84.07,11.06,0.27,11.51,3.92
0,0.53,0.08,Emuhaya,Vihiga,72.31,0.04,29961,0.07,63.17,27.09,0.09,27.69,8.94
0.64,76.62,0.08,Wajir North,Wajir,10.52,0.15,20423,0.04,9.6,12.17,0.03,89.48,0.66
46.9,48.37,0.5,Wajir East,Wajir,4.28,0.7,23220,0.03,0.65,0.42,1.8,95.72,0.63
0.07,96.45,0.04,Tarbaj,Wajir,2.43,0,27010,0,2.39,1.05,0,97.57,0
0.14,95.15,0,Wajir West,Wajir,2.86,0,21750,0.12,2.85,1.72,0.02,97.14,0
0.05,64.37,0,Eldas,Wajir,1.66,0.1,17556,0.14,1.5,33.79,0.06,98.34,0
0.11,83.1,0.2,Wajir South,Wajir,6.27,0,24496,0.38,5.88,10.15,0,93.73,0.18
0.05,92.98,0.04,Kapenguria,West Pokot,4.64,0,27486,0.04,3.74,2.28,0.03,95.36,0.83
0,88.67,0.04,Sigor,West Pokot,7.52,0.01,16765,0,6.98,3.81,0.05,92.48,0.44
0,89.02,0.14,Kacheliba,West Pokot,8.6,0,22974,0.06,6.53,2.32,0.06,91.4,1.86
0.05,55.07,0.33,Pokot South,West Pokot,27.95,0.01,41537,0.03,25.14,16.9,0,72.05,2.46
